Original JSON Order,Default State,Policy Override State,Description,Countries,GUID
65,enabled,disabled,Manage Vega search in Windows Search Box,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{b1a7c9e2-3d4f-4a6b-8c9d-1a2b3c4d5e6f}
66,enabled,disabled,File Explorer graph connected content shows in File Explorer Home and details pane,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{e7a1f3c4-9b2d-4f8a-8c3e-5d7f6a9b1c2e}
67,disabled,enabled,Manage Recall Data Provision Dialog,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{12c807e4-a5a4-4965-b980-531c108eb39e}
68,enabled,disabled,Recommended actions show in File Explorer and Desktop,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{f3a8c2d4-5b7e-4c9a-8f3d-1e2b3c4d5e6f}
69,enabled,disabled,C2D extensible entity actions should be displayed in curated order,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{d3bb16fc-705c-483a-8c4b-4f0e914389c4}
70,enabled,disabled,Settings Agent is disabled in some regions,"CN, CU, IR, KP, RU, SY",{4997d2b6-85cc-4c6c-93e4-bbc820f218ee}
71,enabled,disabled,Windows feature is disabled in regions due to language support,CA,{f3d9c8b1-7b3a-4f84-a6b6-0b2b5eecdbb9}
72,disabled,enabled,"Microsoft Store has specific options available in some regions, such as ability to uninstall","AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{9a453b66-5ea7-4322-9aba-b054e914cc67}
73,disabled,enabled,ShareWindowCommandSource API participation unrestricted to all share providers in DMA region,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{b30e775c-9f50-4f5c-8a3e-ab8c78d439e0}
74,enabled,disabled,SearchV2 on Taskbar feature,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{983e7839-8ee8-4705-81f0-962b8966b7d7}
75,enabled,disabled,Restrict Windows Search Box Client Data Exposure to Bing Server in Non-DMA Regions Only,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GF, GP, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, MQ, NL, NO, PL, PT, RE, RO, SE, SI, SK, YT",{b7f4a1d2-3c8e-4f9a-9b6e-2f1d8a7c4e91}
